.IML 2017	.International Conference on Internet of Things and Machine Learning	Liverpool, United Kingdom
2nd BDTL Workshop 2017	2nd International Workshop on Big Data Transfer Learning in conjunction with IEEE BigData Conference 2017	Boston, MA, USA
7th ICITCS 2017	iCatse International Conference on IT Convergence and Security	Seoul, South Korea
AAAI 2018	The Thirty-Second AAAI Conference on Artificial Intelligence	New Orleans, LA, USA
AAAI-ATSE 2018	AAAI-18 Workshop on artificial intelligence applied to assistive technologies and smart environments	New Orleans, LA, USA
AAIA 2017	12th International Symposium Advances in Artificial Intelligence and Applications	Prague, Czech Republic
AAMAS 2018	International Conference on Autonomous Agents and Multiagent Systems (AAMAS-18)	Stockholm
ACCVW-MLAC 2016	ACCV'16 Workshop on Multi-view Lip-reading & Audio-visual Challenges	Taipei, Taiwan
ACIIDS 2012	The 4th Asian Conference on Intelligent Information and Database Systems	Kaohsiung, Taiwan
ACIIDS 2013	Special Session on Intelligent Recommended Systems	Kuala Lumpur, Malaysia
ACIIDS 2018	10th Asian Conference on Intelligent Information and Database Systems	Dong Hoi City, Vietnam
ACIS 2016	The Fifth Asian Conference on Information Systems	Krabi, Thailand
ACL 2018	56th Annual Meeting of the Association for Computational Linguistics	Melbourne, Australia
ACLing 2017	The Third International Conference on Arabic Computational Linguistics	Dubai, UAE
ACM-BCB 2017	8th ACM Conference on Bioinformatics, Computational Biology, and Health Informatics - Call for Tutorials	Boston, MA, USA
ACM - DTTA Track 2013	ACM Scientific Applications Conference - Database Theory, Technology and Applications Track	Coimbra, Portugal
ACM - ICBDM 2018	2018 International Conference on Big Data Management (ICBDM 2018)--ACM, Ei Compendex and Scopus	Macau, China
ACM - ICBDR 2017	ACM--2017 International Conference on Big Data Research (ICBDR 2017) -- Ei Compendex & Scopus	Osaka, Japan
ACM--ICCAI 2018--Ei, Scopus 2018	ACM--2018 International Conference on Computing and Artificial Intelligence (ICCAI 2018)--Ei Compendex and Scopus	Chengdu, China
ACM--ICCDA--Ei, Scopus, and ISI 2018	ACM--2018 The 2nd International Conference on Compute and Data Analysis (ICCDA 2018)--Ei Compendex, Scopus, and ISI	DeKalb,IL,USA
ACM--ICCIP 2017	ACM--2017 the 3rd International Conference on Communication and Information Processing (ICCIP 2017)--Ei Compendex, ISI Web of Science and Scopus	Tokyo, Japan
ACM--ICDEL--Ei Compendex 2018	2018 International Conference on Distance Education and Learning (ICDEL 2018)--ACM, Ei Compendex	Beijing, China
ACM--ICDPA--Scopus, Ei Compendex 2018	ACM--2018 International Conference on Data Processing and Applications (ICDPA 2018)--Scopus, Ei Compendex	Guangzhou, China
ACM--ICGDA--Ei, Scopus 2018	ACM--2018 the International Conference on Geoinformatics and Data Analysis (ICGDA 2018)--Ei, ISI and Scopus	Prague, Czech Republic
ACM - ICIAI 2018	ACM--2018 2nd International Conference on Innovation in Artificial Intelligence (ICIAI 2018)--Ei Compendex, Scopus, and ISI	Shanghai, China
ACM--ICMCE 2017	ACM--2017 6th International Conference on Mechatronics and Control Engineering (ICMCE 2017)--Ei Compendex, ISI Web of Science and Scopus	St. Petersburg, Russia
ACM - ICMLC 2018	2018 10th International Conference on Machine Learning and Computing (ICMLC 2018)--ACM, Ei Compendex and Scopus	Macau, China
ACM - ICMLSC - Ei 2018	ACM--2018 the 2nd International Conference on Machine Learning and Soft Computing (ICMLSC 2018)--Ei Compendex & Scopus	Phuoc Island, Vietnam
ACM--ICMSR--Ei, Scopus and ISI 2018	2018 International Conference on Mechatronic Systems and Robots (ICMSR 2018)--ACM, Ei, Scopus and ISI	Singapore
ACM--ICRIS--Ei 2018	2018 International Conference on Robotics and Intelligent System (ICRIS 2018)--ACM, Ei Compendex, Scopus	Amsterdam, Netherland
ACM--ICSSE--Ei, Scopus 2018	ACM--2018 the International Conference on Software and Services Engineering(ICSSE 2018)--Ei, ISI and Scopus	Prague, Czech Republic
ACML 2016	8th Asian Conference on Machine Learning	Hamilton, New Zealand
ACML 2017	The 9th Asian Conference on Machine Learning	Seoul, South Korea
ACMLC--EI Compendex, Scopus 2017	2017 Asia Conference on Machine Learning and Computing (ACMLC 2017)--EI Compendex, Scopus	Singapore
ACM SAC-COCO 2018	Cognitive Computing Track @ The 33nd ACM Symposium on Applied Computing - ACM SAC 2018	Pau, France
ACM SAC-RS 2017	ACM SIGAPP Symposium On Applied Computing 2017 - Track on Recommender Systems: Theory and Applications	Marrakech, Morocco
ACM SAC-RS 2018	ACM SIGAPP Symposium On Applied Computing 2018 - Track on Recommender Systems: Theory, User Interactions and Applications	Pau, France
ACTIVE 2017	First International Workshop on Data Management on Virtualized Active Systems (In Conjunction with the IEEE ICDE 2017)	San Diego, CA, USA
ACUMEN 2017	Data Science for Human Performance in Social Networks	ICDM17, New Orleans, USA
ADBIS 2011	Fifteenth East-European Conference on Advances in Databases and Information Systems	Vienna, Austria
ADBIS - 2015	[ADBIS'2015]: Call for Workshop Proposals	Poitiers
ADBIS 2017	21st European Conference on Advances in Databases and Information Systems	Nicosia, Cyprus
ADBIS - Workshops 2017	21st European Conference on Advances in Databases and Information Systems (ADBIS 2017) Workshops	Nicosia, Cyprus
ADC 2012	Australasian Database Conference	Melbourne, Australia
ADC 2014	The 25th Australasian Database Conference	Brisbane, Australia
ADC 2015	Australasian Database Conference	Melbourne, Australia
AdCHIReS 2017	Special Issue on Advances in Computer-Human Interaction for Recommender Systems	N/A
ADCOM 2017	3rd International conference on Advanced Computing	Dubai, UAE
ADMA 2016	Advanced Data Mining and Applications	Gold Coast
ADMA 2017	The 13th International Conference on Advanced Data Mining and Applications	Singapore
ADMI 2017	Agents and Data Mining Interaction@AAMAS2017	Sao Paulo, Brazil
ADS 2017	ACIIDS 2017 Special Session on Applications of Data Science	Kanazawa, Japan
